Chainage,Distance(m),UTM_X,UTM_Y,RL,Remarks,Bank
2500,325,793267,2488230,-5.02,Bathy, 
2500,331,793263,2488226,-4.9,Bathy, 
2500,338,793258,2488221,-4.87,Bathy, 
2500,344,793254,2488217,-4.91,Bathy, 
2500,350,793249,2488213,-4.71,Bathy, 
2500,355,793245,2488210,-4.65,Bathy, 
2500,362,793241,2488205,-4.61,Bathy, 
2500,369,793236,2488200,-4.34,Bathy, 
2500,375,793231,2488196,-4.12,Bathy, 
2500,382,793226,2488191,-4.29,Bathy, 
2500,388,793222,2488187,-4.21,Bathy, 
2500,394,793217,2488183,-4.2,Bathy, 
2500,399,793213,2488180,-4.02,Bathy, 
2500,405,793209,2488176,-4,Bathy, 
2500,411,793205,2488171,-3.93,Bathy, 
2500,417,793200,2488168,-3.93,Bathy, 
2500,422,793196,2488164,-3.89,Bathy, 
2500,429,793192,2488159,-4.05,Bathy, 
2500,435,793187,2488155,-4.13,Bathy, 
2500,441,793183,2488151,-4.25,Bathy, 
2500,446,793179,2488148,-4.39,Bathy, 
2500,453,793174,2488143,-4.38,Bathy, 
2500,458,793170,2488139,-4.53,Bathy, 
2500,465,793165,2488135,-4.51,Bathy, 
2500,471,793161,2488131,-4.16,Bathy, 
2500,478,793156,2488126,-4.93,Bathy, 
2500,484,793151,2488122,-2.89,Bathy, 
2500,490,793147,2488118,-2.72,Bathy, 
2500,494,793144,2488115,-2.47,Bathy, 
2500,498,793141,2488112,-2.37,Bathy, 
2500,501,793139,2488110,-2.28,Bathy, 
2500,504,793136,2488108,-2.12,Bathy, 
2500,508,793134,2488105,-1.95,Bathy, 
2500,511,793132,2488103,-1.75,Bathy, 
2500,514,793129,2488101,-1.59,Bathy, 
2500,519,793126,2488098,-1.41,Bathy, 
2500,520,793125,2488097,-1.22,Bathy, 
2500,521,793124,2488096,-0.96,Bathy, 
,,,,,,
2600,0,793412,2488520,1.722,Land,Bank
2600,1,793411,2488519,2.117,Land, 
2600,3,793410,2488518,2.907,Land, 
2600,4,793409,2488517,4.022,Land, 
2600,8,793406,2488515,4.026,RBT, 
2600,11,793404,2488512,2.876,Slope, 
2600,13,793403,2488511,2.559,Slope, 
2600,15,793401,2488510,2.082,Slope, 
2600,17,793400,2488508,1.229,Slope, 
